"","Countries","renewables_percent","PPP_per_capita","diff_GDP_value","energy_use"
"2","Albania",38.61521047,10970.45224,279655881.9,2308393663
"3","Algeria",0.058958684,13724.72385,3911303420,49560514663
"4","Angola",49.56821033,6227.664689,2907898364,14883595356
"6","Arab World",4.094036566,15342.76648,63841111870,7.15e+11
"7","Argentina",10.04007761,19116.90791,10083953399,84841512116
"8","Armenia",15.79200384,8195.93365,204847319.8,2928356805
"9","Australia",9.18050296,43923.25827,28056049201,1.3e+11
"10","Austria",34.39499175,44304.96776,6134398843,33871121279
"11","Azerbaijan",2.310757686,16698.86365,1433520086,14223161758
"13","Bahrain",0,43926.47404,875393137.1,14294434775
"14","Bangladesh",34.74706901,3132.56754,4568355687,34697747040
"16","Belarus",6.770869532,17229.55519,1188416009,27344398322
"17","Belgium",9.201640531,41708.21234,7173158554,56342380815
"19","Benin",50.86261794,1987.14192,228860932.6,4296461604
"21","Bolivia",17.53818183,6531.519398,654064608.6,8045446565
"22","Bosnia and Herzegovina",40.75006023,10932.45948,742705527.4,6247693325
"23","Botswana",28.87982699,15356.77092,433109594.5,2551910445
"24","Brazil",43.7903892,14702.59127,45909775086,2.99e+11
"25","Brunei",0.014935036,74600.1643,161763523.3,3121036369
"26","Bulgaria",17.65007793,17000.17804,733720533.4,16718422505
"29","Cambodia",64.92377591,3290.952454,491756644.6,6160668494
"30","Cameroon",76.53840041,3289.064546,709889383.3,7678847218
"31","Canada",22.02535921,43149.47584,31312198786,2.76e+11
"33","Caribbean small states",8.825976767,14864.93814,1225965982,35157249135
"35","Central Europe and the Baltics",17.12189336,24420.30549,27378369989,2.59e+11
"37","Chile",24.88255427,22516.60786,7431612423,39570585732
"38","China",12.41335257,13569.89153,3.23e+11,3.04e+12
"39","Colombia",23.56475752,12985.38313,8484637612,34394849805
"41","Congo",62.40211902,5542.892982,319747992.9,2757584143
"42","Costa Rica",38.73341388,14738.60762,1178264226,4950880381
