Countries,energy_use
Arab World,7.15E+11
Caribbean small states,35157249135
Central Europe and the Baltics,2.59E+11
Early-demographic dividend,2.76E+12
East Asia & Pacific,4.71E+12
East Asia & Pacific (excluding high income),3.67E+12
East Asia & Pacific (IDA & IBRD countries),3.66E+12
Euro area,1.16E+12
Europe & Central Asia,2.92E+12
Europe & Central Asia (excluding high income),1.26E+12
Europe & Central Asia (IDA & IBRD countries),1.37E+12
European Union,1.64E+12
Fragile and conflict affected situations,2.81E+11
Heavily indebted poor countries (HIPC),3.16E+11
High income,5.68E+12
IBRD only,7.22E+12
IDA & IBRD total,8.21E+12
IDA blend,3.39E+11
IDA only,3.86E+11
IDA total,7.49E+11
Late-demographic dividend,5.04E+12
Latin America & Caribbean,8.70E+11
Latin America & Caribbean (excluding high income),7.93E+11
Latin America & the Caribbean (IDA & IBRD countries),8.50E+11
Least developed countries: UN classification,3.44E+11
Low & middle income,8.05E+12
Low income,
Lower middle income,1.85E+12
Middle East & North Africa,9.21E+11
Middle East & North Africa (excluding high income),5.00E+11
Middle East & North Africa (IDA & IBRD countries),4.95E+11
Middle income,7.57E+12
North America,2.49E+12
Not classified,
OECD members,5.39E+12
Other small states,
Pacific island small states,
Post-demographic dividend,5.08E+12
Pre-demographic dividend,4.96E+11
Small states,
South Asia,9.62E+11
South Asia (IDA & IBRD),9.62E+11
Sub-Saharan Africa,6.81E+11
Sub-Saharan Africa (excluding high income),6.81E+11
Sub-Saharan Africa (IDA & IBRD countries),6.81E+11
Upper middle income,5.67E+12
World,1.39E+13
Afghanistan,
Albania,2308393663
Algeria,49560514663
American Samoa,
Andorra,
Angola,14883595356
Antigua and Barbuda,
Argentina,84841512116
Armenia,2928356805
Aruba,
Australia,1.30E+11
Austria,33871121279
Azerbaijan,14223161758
"Bahamas, The",
Bahrain,14294434775
Bangladesh,34697747040
Barbados,
Belarus,27344398322
Belgium,56342380815
Belize,
Benin,4296461604
Bermuda,
Bhutan,
Bolivia,8045446565
Bosnia and Herzegovina,6247693325
Botswana,2551910445
Brazil,2.99E+11
British Virgin Islands,
Brunei,3121036369
Bulgaria,16718422505
